CODE,BCH449H1-S-20229-LEC-0101
CAP,40
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,39
1657659562,39
1657678580,39
1657700377,39
1657734892,40
1657736031,40
1657737680,40
1657744796,40
1657780717,40
1657815723,40
1657827444,40
1657841424,40
1657851524,40
1657853756,40
1657868023,40
1657911025,40
1657914749,40
1657938204,40
1657991885,40
1658011963,40
1658085387,40
1658086283,40
1658101152,40
1658101473,40
1658117893,40
1658120808,40
1658149282,40
1658163609,40
1658192584,40
1658255580,40
1658255781,40
1658265969,40
1658282799,40
1658284132,40
1658341011,40
1658425310,40
1658438101,40
1658446157,40
1658446785,40
1658460004,40
1658514131,40
