CODE,PCL490H1-S-20229-LEC-0101
CAP,20
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,26
1657659562,26
1657678580,26
1657700377,26
1657734892,26
1657736031,26
1657737680,26
1657744796,26
1657780717,26
1657815723,27
1657827444,27
1657841424,27
1657851524,27
1657853756,27
1657868023,27
1657911025,27
1657914749,27
1657938204,27
1657991885,27
1658011963,27
1658085387,27
1658086283,27
1658101152,27
1658101473,27
1658117893,27
1658120808,27
1658149282,27
1658163609,27
1658192584,27
1658255580,27
1658255781,27
1658265969,27
1658282799,27
1658284132,27
1658341011,27
1658425310,27
1658438101,27
1658446157,27
1658446785,27
1658460004,27
1658514131,28
1658536189,28
1658552506,28
1658614194,28
1658631652,28
1658698082,28
1658768591,28
1658788819,28
1658856132,27
1658878866,27
1658879072,27
1658965232,28
1659041782,28
1659049575,28
1659055055,28
1659106110,28
1659116097,28
1659126308,28
1659137081,28
1659154622,28
1659160562,28
1659197518,29
1659228149,29
1659229856,29
1659252439,29
1659298092,29
