CODE,HMB433H1-F-20229-LEC-0101
CAP,30
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,4
1657560897,4
1657592482,4
1657598158,4
1657657520,17
1657659549,17
1657678570,17
1657700365,17
1657734871,17
1657736010,17
1657737663,17
1657744779,17
1657780708,17
1657815709,16
1657827433,16
1657841414,16
1657851506,16
1657853745,16
1657868013,16
1657911016,17
1657914736,17
1657938194,17
1657991875,18
1658011950,18
1658085371,18
1658086263,18
1658101142,18
1658101460,18
1658117879,18
1658120793,18
1658149259,16
1658163599,16
1658192570,16
1658255570,16
1658255771,16
1658265950,16
1658282790,16
1658284116,16
1658341001,17
1658425295,17
1658438086,17
1658446145,17
1658446771,17
1658459993,17
1658514122,17
1658536177,17
1658552496,17
1658614184,17
1658631640,17
1658698072,17
1658768579,17
1658788810,17
1658856123,17
1658878855,17
1658879061,17
