CODE,DRM355H1-S-20229-LEC-0101
CAP,12
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,5
1657659562,5
1657678580,5
1657700377,5
1657734892,5
1657736031,5
1657737680,5
1657744796,5
1657780717,5
1657815723,4
1657827444,4
1657841424,4
1657851524,4
1657853756,4
1657868023,4
1657911025,6
1657914749,6
1657938204,6
1657991885,6
1658011963,6
1658085387,6
1658086283,6
1658101152,6
1658101473,6
1658117893,6
1658120808,6
1658149282,6
1658163609,6
1658192584,6
1658255580,6
1658255781,6
1658265969,6
1658282799,6
1658284132,6
1658341011,6
1658425310,6
1658438101,6
1658446157,6
1658446785,6
1658460004,6
1658514131,6
1658536189,6
1658552506,6
1658614194,6
1658631652,6
1658698082,6
1658768591,6
1658788819,6
1658856132,6
1658878866,6
1658879072,6
1658965232,6
1659041782,6
1659049575,6
1659055055,6
