CODE,ABP104Y1-S-20229-LEC-0101
CAP,-1
1656647697,-2
1656655667,-2
1656693731,-2
1656799552,-2
1657039041,-2
1657124791,-2
1657129909,-2
1657154834,-2
1657154935,-2
1657157146,-2
1657169433,-2
1657171616,-2
1657208573,-2
1657224158,-2
1657394896,-2
1657522648,-2
1657560905,-2
1657592491,-2
1657598166,-2
1657657537,-2
1657659562,-2
1657678580,-2
1657700377,-2
1657734892,-2
1657736031,-2
1657737680,-2
1657744796,-2
1657780717,-2
1657815723,-2
1657827444,-2
1657841424,-2
1657851524,-2
1657853756,-2
1657868023,-2
1657911025,-2
1657914749,-2
1657938204,-2
1657991885,-2
1658011963,-2
1658085387,-2
1658086283,-2
1658101152,-2
1658101473,-2
1658117893,-2
1658120808,-2
1658149282,-2
1658163609,-2
1658192584,-2
1658255580,-2
1658255781,-2
1658265969,-2
1658282799,-2
1658284132,-2
1658341011,-2
1658425310,-2
1658438101,-2
1658446157,-2
1658446785,-2
1658460004,-2
1658514131,-2
