CODE,CDN367H1-S-20229-LEC-0101
CAP,59
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,6
1657659562,6
1657678580,6
1657700377,6
1657734892,6
1657736031,6
1657737680,6
1657744796,6
1657780717,6
1657815723,6
1657827444,6
1657841424,6
1657851524,6
1657853756,6
1657868023,6
1657911025,16
1657914749,16
1657938204,16
1657991885,16
1658011963,16
1658085387,16
1658086283,16
1658101152,16
1658101473,16
1658117893,16
1658120808,16
1658149282,16
1658163609,16
1658192584,16
1658255580,25
1658255781,25
1658265969,25
1658282799,25
1658284132,25
1658341011,26
1658425310,26
1658438101,26
1658446157,26
1658446785,26
1658460004,26
1658514131,26
1658536189,26
1658552506,26
1658614194,26
1658631652,26
1658698082,27
1658768591,27
1658788819,27
1658856132,27
1658878866,27
1658879072,27
1658965232,27
1659041782,27
1659049575,27
1659055055,27
