CODE,RLG416H1-S-20229-LEC-0101
CAP,12
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,5
1657659562,5
1657678580,5
1657700377,5
1657734892,5
1657736031,5
1657737680,5
1657744796,5
1657780717,5
1657815723,5
1657827444,5
1657841424,5
1657851524,5
1657853756,5
1657868023,5
1657911025,8
1657914749,8
1657938204,8
1657991885,9
1658011963,9
1658085387,9
1658086283,9
1658101152,9
1658101473,9
1658117893,9
1658120808,9
1658149282,9
1658163609,9
1658192584,9
1658255580,9
1658255781,9
1658265969,9
1658282799,9
1658284132,9
1658341011,9
1658425310,9
1658438101,9
1658446157,9
1658446785,9
1658460004,9
1658514131,9
1658536189,9
1658552506,9
1658614194,9
1658631652,9
1658698082,9
1658768591,9
1658788819,9
1658856132,9
1658878866,9
1658879072,9
1658965232,9
1659041782,9
1659049575,9
1659055055,9
1659106110,9
1659116097,9
1659126308,9
1659137081,9
1659154622,9
1659160562,9
1659197518,9
1659228149,9
1659229856,9
1659252439,9
1659298092,9
