CODE,CHM222H1-F-20229-LEC-0101
CAP,70
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,2
1657659549,2
1657678570,2
1657700365,2
1657734871,2
1657736010,2
1657737663,2
1657744779,2
1657780708,2
1657815709,2
1657827433,2
1657841414,2
1657851506,2
1657853745,2
1657868013,2
1657911016,7
1657914736,7
1657938194,7
1657991875,7
1658011950,7
1658085371,7
1658086263,7
1658101142,7
1658101460,7
1658117879,7
1658120793,7
1658149259,7
1658163599,7
1658192570,7
1658255570,46
1658255771,46
1658265950,46
1658282790,46
1658284116,46
1658341001,46
1658425295,46
1658438086,46
1658446145,46
1658446771,46
1658459993,46
1658514122,49
1658536177,49
1658552496,49
1658614184,50
1658631640,50
1658698072,50
1658768579,50
1658788810,50
1658856123,50
1658878855,50
1658879061,50
1658965224,50
1659041771,50
1659049567,50
1659055044,50
1659106101,50
1659116089,50
1659126296,50
1659137072,50
1659154611,50
1659160554,50
1659197509,56
1659228141,56
1659229848,56
1659252431,56
1659298084,56
