CODE,HST440H1-F-20229-LEC-0101
CAP,45
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,25
1657659549,25
1657678570,25
1657700365,25
1657734871,27
1657736010,27
1657737663,27
1657744779,27
1657780708,27
1657815709,27
1657827433,27
1657841414,27
1657851506,27
1657853745,27
1657868013,27
1657911016,33
1657914736,33
1657938194,33
1657991875,33
1658011950,33
1658085371,33
1658086263,33
1658101142,33
1658101460,33
1658117879,33
1658120793,33
1658149259,34
1658163599,34
1658192570,34
1658255570,34
1658255771,34
1658265950,34
1658282790,34
1658284116,34
1658341001,34
1658425295,34
1658438086,34
1658446145,34
1658446771,34
1658459993,34
1658514122,34
1658536177,34
1658552496,34
1658614184,33
1658631640,33
1658698072,33
1658768579,33
1658788810,33
1658856123,33
1658878855,33
1658879061,33
1658965224,32
1659041771,32
1659049567,32
1659055044,32
1659106101,32
1659116089,32
1659126296,32
1659137072,32
1659154611,32
1659160554,32
1659197509,38
1659228141,38
1659229848,38
1659252431,38
1659298084,38
