CODE,WGS482H1-F-20229-LEC-0101
CAP,15
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,13
1657659549,13
1657678570,13
1657700365,13
1657734871,14
1657736010,14
1657737663,14
1657744779,14
1657780708,14
1657815709,14
1657827433,14
1657841414,14
1657851506,14
1657853745,14
1657868013,14
1657911016,16
1657914736,16
1657938194,16
1657991875,16
1658011950,16
1658085371,16
1658086263,16
1658101142,16
1658101460,16
1658117879,16
1658120793,16
1658149259,16
1658163599,16
1658192570,16
1658255570,16
1658255771,16
1658265950,16
1658282790,16
1658284116,16
1658341001,16
1658425295,16
1658438086,16
1658446145,16
1658446771,16
1658459993,16
1658514122,16
1658536177,16
1658552496,16
1658614184,16
1658631640,16
1658698072,16
1658768579,16
1658788810,16
1658856123,16
1658878855,16
1658879061,16
1658965224,16
1659041771,16
1659049567,16
1659055044,16
