CODE,BMS201H1-F-20229-LEC-0101
CAP,68
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,1
1657659549,1
1657678570,1
1657700365,1
1657734871,2
1657736010,2
1657737663,2
1657744779,2
1657780708,2
1657815709,2
1657827433,2
1657841414,2
1657851506,2
1657853745,2
1657868013,2
1657911016,6
1657914736,6
1657938194,6
1657991875,6
1658011950,6
1658085371,6
1658086263,6
1658101142,6
1658101460,6
1658117879,6
1658120793,6
1658149259,6
1658163599,6
1658192570,6
1658255570,50
1658255771,50
1658265950,50
1658282790,50
1658284116,50
1658341001,48
1658425295,47
1658438086,47
1658446145,47
1658446771,47
1658459993,47
1658514122,46
