CODE,CDN307H1-F-20229-LEC-0101
CAP,34
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,2
1657659549,2
1657678570,2
1657700365,2
1657734871,2
1657736010,2
1657737663,2
1657744779,2
1657780708,2
1657815709,2
1657827433,2
1657841414,2
1657851506,2
1657853745,2
1657868013,2
1657911016,10
1657914736,10
1657938194,10
1657991875,10
1658011950,10
1658085371,10
1658086263,10
1658101142,10
1658101460,10
1658117879,10
1658120793,10
1658149259,10
1658163599,10
1658192570,10
1658255570,13
1658255771,13
1658265950,13
1658282790,13
1658284116,13
1658341001,13
1658425295,13
1658438086,13
1658446145,13
1658446771,13
1658459993,13
1658514122,14
1658536177,14
1658552496,14
1658614184,14
1658631640,14
1658698072,14
1658768579,14
1658788810,14
1658856123,14
1658878855,14
1658879061,14
1658965224,14
1659041771,14
1659049567,14
1659055044,14
1659106101,14
1659116089,14
1659126296,14
1659137072,14
1659154611,14
1659160554,14
1659197509,24
1659228141,24
1659229848,24
1659252431,24
1659298084,25
