CODE,GER400H1-F-20229-LEC-0101
CAP,30
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,9
1657659549,9
1657678570,9
1657700365,9
1657734871,9
1657736010,9
1657737663,9
1657744779,9
1657780708,9
1657815709,9
1657827433,9
1657841414,9
1657851506,9
1657853745,9
1657868013,9
1657911016,9
1657914736,9
1657938194,9
1657991875,9
1658011950,9
1658085371,9
1658086263,9
1658101142,9
1658101460,9
1658117879,9
1658120793,9
1658149259,9
1658163599,9
1658192570,9
1658255570,11
1658255771,11
1658265950,11
1658282790,11
1658284116,11
1658341001,12
1658425295,12
1658438086,12
1658446145,12
1658446771,12
1658459993,12
1658514122,13
1658536177,13
1658552496,13
1658614184,13
1658631640,13
1658698072,13
1658768579,13
1658788810,13
1658856123,13
1658878855,13
1658879061,13
1658965224,13
1659041771,13
1659049567,13
1659055044,13
1659106101,13
1659116089,13
1659126296,13
1659137072,13
1659154611,13
1659160554,13
1659197509,13
1659228141,13
1659229848,13
1659252431,13
1659298084,13
