CODE,LAT201H1-F-20229-LEC-0101
CAP,40
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,1
1657659549,1
1657678570,1
1657700365,1
1657734871,1
1657736010,1
1657737663,1
1657744779,1
1657780708,1
1657815709,0
1657827433,0
1657841414,0
1657851506,0
1657853745,0
1657868013,0
1657911016,4
1657914736,4
1657938194,4
1657991875,4
1658011950,4
1658085371,5
1658086263,5
1658101142,5
1658101460,5
1658117879,5
1658120793,5
1658149259,5
1658163599,5
1658192570,5
1658255570,9
1658255771,9
1658265950,9
1658282790,9
1658284116,9
1658341001,8
1658425295,8
1658438086,8
1658446145,8
1658446771,8
1658459993,8
1658514122,9
1658536177,9
1658552496,9
1658614184,9
1658631640,9
1658698072,9
1658768579,9
1658788810,9
1658856123,9
1658878855,9
1658879061,9
1658965224,9
1659041771,9
1659049567,9
1659055044,9
1659106101,9
1659116089,9
1659126296,9
1659137072,9
1659154611,9
1659160554,9
1659197509,9
1659228141,9
1659229848,9
1659252431,9
1659298084,9
