CODE,RLG373H1-S-20229-LEC-0101
CAP,30
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,4
1657659562,4
1657678580,4
1657700377,4
1657734892,5
1657736031,5
1657737680,5
1657744796,5
1657780717,5
1657815723,5
1657827444,5
1657841424,5
1657851524,5
1657853756,5
1657868023,5
1657911025,8
1657914749,8
1657938204,8
1657991885,8
1658011963,8
1658085387,9
1658086283,9
1658101152,9
1658101473,9
1658117893,9
1658120808,9
1658149282,9
1658163609,9
1658192584,9
1658255580,14
1658255781,14
1658265969,14
1658282799,14
1658284132,14
1658341011,15
1658425310,15
1658438101,15
1658446157,15
1658446785,15
1658460004,15
1658514131,15
1658536189,15
1658552506,15
1658614194,15
1658631652,15
1658698082,15
1658768591,15
1658788819,15
1658856132,15
1658878866,15
1658879072,15
