CODE,CLT338H1-S-20229-LEC-0101
CAP,40
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,6
1657659562,6
1657678580,6
1657700377,6
1657734892,6
1657736031,6
1657737680,6
1657744796,6
1657780717,6
1657815723,6
1657827444,6
1657841424,6
1657851524,6
1657853756,6
1657868023,6
1657911025,8
1657914749,8
1657938204,8
1657991885,8
1658011963,8
1658085387,8
1658086283,8
1658101152,8
1658101473,8
1658117893,8
1658120808,8
1658149282,8
1658163609,8
1658192584,8
1658255580,18
1658255781,18
1658265969,18
1658282799,18
1658284132,18
1658341011,18
1658425310,18
1658438101,18
1658446157,18
1658446785,18
1658460004,18
1658514131,18
1658536189,18
1658552506,18
1658614194,18
1658631652,18
1658698082,18
1658768591,18
1658788819,18
1658856132,18
1658878866,18
1658879072,18
