CODE,RLG304H1-S-20229-LEC-0101
CAP,40
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,2
1657659562,2
1657678580,2
1657700377,2
1657734892,3
1657736031,3
1657737680,3
1657744796,3
1657780717,3
1657815723,4
1657827444,4
1657841424,4
1657851524,4
1657853756,4
1657868023,4
1657911025,9
1657914749,9
1657938204,9
1657991885,9
1658011963,9
1658085387,9
1658086283,9
1658101152,9
1658101473,9
1658117893,9
1658120808,9
1658149282,8
1658163609,8
1658192584,8
1658255580,13
1658255781,13
1658265969,13
1658282799,13
1658284132,13
1658341011,13
1658425310,13
1658438101,13
1658446157,13
1658446785,13
1658460004,13
1658514131,14
