CODE,EAS458H1-F-20229-LEC-0101
CAP,20
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,1
1657659549,1
1657678570,1
1657700365,1
1657734871,1
1657736010,1
1657737663,1
1657744779,1
1657780708,1
1657815709,1
1657827433,1
1657841414,1
1657851506,1
1657853745,1
1657868013,1
1657911016,3
1657914736,3
1657938194,3
1657991875,3
1658011950,3
1658085371,3
1658086263,3
1658101142,3
1658101460,3
1658117879,3
1658120793,3
1658149259,3
1658163599,3
1658192570,3
1658255570,3
1658255771,3
1658265950,3
1658282790,3
1658284116,3
1658341001,3
1658425295,4
1658438086,4
1658446145,4
1658446771,4
1658459993,4
1658514122,3
1658536177,3
1658552496,3
1658614184,3
1658631640,3
1658698072,3
1658768579,3
1658788810,3
1658856123,3
1658878855,3
1658879061,3
1658965224,3
1659041771,3
1659049567,3
1659055044,3
1659106101,3
1659116089,3
1659126296,3
1659137072,3
1659154611,3
1659160554,3
1659197509,3
1659228141,3
1659229848,3
1659252431,3
1659298084,3
