CODE,SDS382H1-S-20229-LEC-0101
CAP,45
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,4
1657659562,4
1657678580,4
1657700377,4
1657734892,4
1657736031,4
1657737680,4
1657744796,4
1657780717,4
1657815723,4
1657827444,4
1657841424,4
1657851524,4
1657853756,4
1657868023,4
1657911025,10
1657914749,10
1657938204,10
1657991885,10
1658011963,10
1658085387,11
1658086283,11
1658101152,11
1658101473,11
1658117893,11
1658120808,11
1658149282,11
1658163609,11
1658192584,11
1658255580,17
1658255781,17
1658265969,17
1658282799,17
1658284132,17
1658341011,17
1658425310,17
1658438101,17
1658446157,17
1658446785,17
1658460004,17
1658514131,17
