CODE,NMC275H1-S-20229-LEC-5101
CAP,70
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,4
1657659562,4
1657678580,4
1657700377,4
1657734892,4
1657736031,4
1657737680,4
1657744796,4
1657780717,4
1657815723,4
1657827444,4
1657841424,4
1657851524,4
1657853756,4
1657868023,4
1657911025,7
1657914749,7
1657938204,7
1657991885,7
1658011963,7
1658085387,7
1658086283,7
1658101152,7
1658101473,7
1658117893,7
1658120808,7
1658149282,7
1658163609,7
1658192584,7
1658255580,24
1658255781,24
1658265969,24
1658282799,24
1658284132,24
1658341011,24
1658425310,25
1658438101,25
1658446157,25
1658446785,25
1658460004,25
1658514131,28
1658536189,28
1658552506,28
1658614194,29
1658631652,29
1658698082,29
1658768591,30
1658788819,30
1658856132,31
1658878866,31
1658879072,31
1658965232,31
1659041782,30
1659049575,30
1659055055,30
