CODE,SLA225H1-S-20229-LEC-0101
CAP,25
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,1
1657659562,1
1657678580,1
1657700377,1
1657734892,2
1657736031,2
1657737680,2
1657744796,2
1657780717,2
1657815723,2
1657827444,2
1657841424,2
1657851524,2
1657853756,2
1657868023,2
1657911025,3
1657914749,3
1657938204,3
1657991885,3
1658011963,3
1658085387,3
1658086283,3
1658101152,3
1658101473,3
1658117893,3
1658120808,3
1658149282,3
1658163609,3
1658192584,3
1658255580,3
1658255781,3
1658265969,3
1658282799,3
1658284132,3
1658341011,3
1658425310,3
1658438101,3
1658446157,3
1658446785,3
1658460004,3
1658514131,5
1658536189,5
1658552506,5
1658614194,5
1658631652,5
1658698082,5
1658768591,5
1658788819,5
1658856132,5
1658878866,5
1658879072,5
1658965232,5
1659041782,5
1659049575,5
1659055055,5
