CODE,SOC489H1-F-20229-LEC-0101
CAP,15
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,15
1657659549,15
1657678570,15
1657700365,15
1657734871,14
1657736010,14
1657737663,14
1657744779,14
1657780708,14
1657815709,12
1657827433,12
1657841414,12
1657851506,12
1657853745,12
1657868013,12
1657911016,12
1657914736,12
1657938194,12
1657991875,12
1658011950,12
1658085371,14
1658086263,14
1658101142,14
1658101460,14
1658117879,14
1658120793,14
1658149259,15
1658163599,15
1658192570,15
1658255570,13
1658255771,13
1658265950,13
1658282790,13
1658284116,13
1658341001,14
1658425295,14
1658438086,14
1658446145,14
1658446771,14
1658459993,14
1658514122,14
1658536177,14
1658552496,14
1658614184,14
1658631640,14
1658698072,14
1658768579,15
1658788810,15
1658856123,15
1658878855,15
1658879061,15
1658965224,14
1659041771,14
1659049567,14
1659055044,14
