CODE,RLG263H1-S-20229-LEC-0101
CAP,40
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,1
1657659562,1
1657678580,1
1657700377,1
1657734892,1
1657736031,1
1657737680,1
1657744796,1
1657780717,1
1657815723,1
1657827444,1
1657841424,1
1657851524,1
1657853756,1
1657868023,1
1657911025,2
1657914749,2
1657938204,2
1657991885,2
1658011963,2
1658085387,2
1658086283,2
1658101152,2
1658101473,2
1658117893,2
1658120808,2
1658149282,2
1658163609,2
1658192584,2
1658255580,5
1658255781,5
1658265969,5
1658282799,5
1658284132,5
1658341011,5
1658425310,5
1658438101,5
1658446157,5
1658446785,5
1658460004,5
1658514131,7
1658536189,7
1658552506,7
1658614194,7
1658631652,7
1658698082,7
1658768591,7
1658788819,7
1658856132,7
1658878866,7
1658879072,7
1658965232,7
1659041782,7
1659049575,7
1659055055,7
