CODE,POL439H1-F-20229-LEC-0101
CAP,15
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,13
1657560897,13
1657592482,13
1657598158,13
1657657520,23
1657659549,23
1657678570,23
1657700365,23
1657734871,23
1657736010,23
1657737663,23
1657744779,23
1657780708,23
1657815709,22
1657827433,22
1657841414,22
1657851506,22
1657853745,22
1657868013,22
1657911016,23
1657914736,23
1657938194,23
1657991875,23
1658011950,23
1658085371,23
1658086263,23
1658101142,23
1658101460,23
1658117879,23
1658120793,23
1658149259,23
1658163599,23
1658192570,23
1658255570,23
1658255771,23
1658265950,23
1658282790,23
1658284116,23
1658341001,23
1658425295,23
1658438086,23
1658446145,23
1658446771,23
1658459993,23
1658514122,23
1658536177,23
1658552496,23
1658614184,22
1658631640,22
1658698072,22
1658768579,22
1658788810,22
1658856123,21
1658878855,21
1658879061,21
1658965224,21
1659041771,21
1659049567,21
1659055044,21
1659106101,21
1659116089,21
1659126296,21
1659137072,21
1659154611,21
1659160554,21
1659197509,22
1659228141,22
1659229848,22
1659252431,22
1659298084,22
