CODE,WGS435H1-S-20229-LEC-0101
CAP,20
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,4
1657659562,4
1657678580,4
1657700377,4
1657734892,4
1657736031,4
1657737680,4
1657744796,4
1657780717,4
1657815723,4
1657827444,4
1657841424,4
1657851524,4
1657853756,4
1657868023,4
1657911025,5
1657914749,5
1657938204,5
1657991885,5
1658011963,5
1658085387,5
1658086283,5
1658101152,5
1658101473,5
1658117893,5
1658120808,5
1658149282,5
1658163609,5
1658192584,5
1658255580,5
1658255781,5
1658265969,5
1658282799,5
1658284132,5
1658341011,5
1658425310,5
1658438101,5
1658446157,5
1658446785,5
1658460004,5
1658514131,5
1658536189,5
1658552506,5
1658614194,5
1658631652,5
1658698082,5
1658768591,5
1658788819,5
1658856132,5
1658878866,5
1658879072,5
1658965232,5
1659041782,5
1659049575,5
1659055055,5
1659106110,5
1659116097,5
1659126308,5
1659137081,5
1659154622,5
1659160562,5
1659197518,6
1659228149,6
1659229856,6
1659252439,6
1659298092,6
