CODE,PHY152H1-S-20229-LEC-0101
CAP,384
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,1
1657659562,1
1657678580,1
1657700377,1
1657734892,1
1657736031,1
1657737680,1
1657744796,1
1657780717,1
1657815723,1
1657827444,1
1657841424,1
1657851524,1
1657853756,1
1657868023,1
1657911025,5
1657914749,5
1657938204,5
1657991885,5
1658011963,5
1658085387,5
1658086283,5
1658101152,5
1658101473,5
1658117893,5
1658120808,5
1658149282,5
1658163609,5
1658192584,5
1658255580,25
1658255781,25
1658265969,25
1658282799,25
1658284132,25
1658341011,27
1658425310,28
1658438101,28
1658446157,28
1658446785,28
1658460004,28
1658514131,353
1658536189,353
1658552506,353
1658614194,358
1658631652,358
1658698082,363
1658768591,364
1658788819,364
1658856132,366
1658878866,366
1658879072,366
1658965232,365
1659041782,365
1659049575,365
1659055055,365
1659106110,363
1659116097,363
1659126308,363
1659137081,363
1659154622,363
1659160562,363
1659197518,369
1659228149,369
1659229856,369
1659252439,369
1659298092,369
