CODE,ANT390H1-F-20229-LEC-0101
CAP,60
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,8
1657659549,8
1657678570,8
1657700365,8
1657734871,8
1657736010,8
1657737663,8
1657744779,8
1657780708,8
1657815709,9
1657827433,9
1657841414,9
1657851506,9
1657853745,9
1657868013,9
1657911016,17
1657914736,17
1657938194,17
1657991875,17
1658011950,17
1658085371,18
1658086263,18
1658101142,18
1658101460,18
1658117879,18
1658120793,18
1658149259,18
1658163599,18
1658192570,18
1658255570,20
1658255771,20
1658265950,20
1658282790,20
1658284116,20
1658341001,20
1658425295,20
1658438086,20
1658446145,20
1658446771,20
1658459993,20
1658514122,20
