CODE,GER220H1-S-20229-LEC-0101
CAP,40
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,2
1657659562,2
1657678580,2
1657700377,2
1657734892,2
1657736031,2
1657737680,2
1657744796,2
1657780717,2
1657815723,2
1657827444,2
1657841424,2
1657851524,2
1657853756,2
1657868023,2
1657911025,5
1657914749,5
1657938204,5
1657991885,5
1658011963,5
1658085387,5
1658086283,5
1658101152,5
1658101473,5
1658117893,5
1658120808,5
1658149282,5
1658163609,5
1658192584,5
1658255580,5
1658255781,5
1658265969,5
1658282799,5
1658284132,5
1658341011,5
1658425310,5
1658438101,5
1658446157,5
1658446785,5
1658460004,5
1658514131,6
1658536189,6
1658552506,6
1658614194,6
1658631652,6
1658698082,6
1658768591,6
1658788819,6
1658856132,6
1658878866,6
1658879072,6
1658965232,6
1659041782,6
1659049575,6
1659055055,6
