CODE,MAT445H1-S-20229-LEC-0101
CAP,30
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,2
1657560905,2
1657592491,2
1657598166,2
1657657537,17
1657659562,17
1657678580,17
1657700377,17
1657734892,18
1657736031,18
1657737680,18
1657744796,18
1657780717,18
1657815723,18
1657827444,18
1657841424,18
1657851524,18
1657853756,18
1657868023,18
1657911025,20
1657914749,20
1657938204,20
1657991885,20
1658011963,20
1658085387,20
1658086283,20
1658101152,20
1658101473,20
1658117893,20
1658120808,20
1658149282,22
1658163609,22
1658192584,22
1658255580,23
1658255781,23
1658265969,23
1658282799,23
1658284132,23
1658341011,23
1658425310,23
1658438101,23
1658446157,23
1658446785,23
1658460004,23
1658514131,23
1658536189,23
1658552506,23
1658614194,23
1658631652,23
1658698082,23
1658768591,23
1658788819,23
1658856132,23
1658878866,23
1658879072,23
